Customer_Id,Annual_Income,Annual_Spend,Monthly_Visits,Avg_Order_Value,Customer_Tenure_Years,Gender,Payment_Method,cluster,predicted_segment_name
C00037,61778.40053,1901.321755,5,308.49942,6,Female,Online,1,Regular Customers
C00038,90860.99664,3363.911141,9,335.321959,8,Male,Store,2,Premium Customers
C00039,28501.70014,584.1479847,3,166.8153286,1,Male,Store,3,Budget Shoppers
C00040,33881.58029,1698.327049,6,279.0759928,2,Male,Online,1,Regular Customers
C00041,72431.07355,1652.187475,5,255.869113,8,Female,Online,1,Regular Customers
C00042,31176.93855,628.8707153,5,98.18815948,7,Male,Online,3,Budget Shoppers
C00043,25226.22833,397.5510791,1,240.0566588,3,Male,Online,3,Budget Shoppers
C00044,103713.3032,5552.430842,11,467.1492661,6,Male,Store,2,Premium Customers
C00045,157192.1981,10036.1041214875,18,648.8972272,4,Female,Online,0,Loyal Customers
C00046,87637.73328,4305.737886,8,490.8963125,9,Male,Online,2,Premium Customers
C00047,27654.89519,556.7249589,2,156.0065057,3,Female,Store,3,Budget Shoppers
C00048,56929.33154,2079.958917,9,277.267547,1,Male,Store,1,Regular Customers
C00049,108484.1182,3279.375968,9,325.0253363,1,Female,Store,2,Premium Customers
C00050,127800.4374,8286.464706,16,511.4341306,9,Male,Online,0,Loyal Customers
C00051,98482.95499,4557.460246,8,581.9435281,10,Female,Mobile App,2,Premium Customers
C00052,52633.72673,2046.47007,7,237.5413445,9,Male,Mobile App,1,Regular Customers
C00053,171307.63754124998,10036.1041214875,16,769.6812468,6,Female,Store,0,Loyal Customers
C00054,41578.545,1847.954656,5,312.7720936,3,Male,Store,1,Regular Customers
C00055,53923.87718,2386.028608,7,300.3495649,8,Female,Online,1,Regular Customers
C00056,51937.68392,1555.058532,5,251.1424795,6,Female,Store,1,Regular Customers
C00057,70961.37356,2266.141822,7,353.054519,5,Male,Store,1,Regular Customers
C00058,82937.71351,3674.095744,11,287.2826884,2,Female,Store,2,Premium Customers
C00059,143158.4591,7828.813745,18,391.2492467,3,Male,Online,0,Loyal Customers
C00060,157552.3815,1847.954656,17,610.8225726,5,Female,Online,2,Premium Customers
C00061,27292.23694,541.4406155,2,239.8710001,9,Female,Online,3,Budget Shoppers
C00062,32559.45589,714.7851664,1,714.2411391,5,Male,Store,3,Budget Shoppers
C00063,65418.52179,1991.445063,7,239.1120155,1,Male,Online,1,Regular Customers
C00064,153124.3302,10036.1041214875,19,848.5410537875001,9,Male,Online,0,Loyal Customers
C00065,85822.95439,4023.354125,9,443.1966157,5,Male,Store,2,Premium Customers
C00066,61869.54955,1751.446569,8,245.7161068,9,Female,Online,1,Regular Customers
C00067,30295.184,1847.954656,3,174.479735,1,Female,Mobile App,3,Budget Shoppers
C00068,52533.81666,1851.307774,5,289.4353657,5,Female,Store,1,Regular Customers
C00069,27781.09893,599.0219577,2,269.5171402,7,Female,Online,3,Budget Shoppers
C00070,55642.81903,2142.195931,5,384.2952041,5,Male,Mobile App,1,Regular Customers
C00071,92149.74648,3582.750545,10,326.3898263,1,Female,Store,2,Premium Customers
C00072,171039.0482,1847.954656,16,846.7298797,4,Male,Store,0,Loyal Customers
C00073,168307.5262,10036.1041214875,16,708.7851866,9,Male,Online,0,Loyal Customers
C00074,32054.15521,746.6249728,3,253.2940088,7,Female,Online,3,Budget Shoppers
C00075,28995.73345,588.4308336,3,147.2790888,4,Female,Mobile App,3,Budget Shoppers
C00076,163299.8737,10036.1041214875,15,754.004548,3,Male,Store,0,Loyal Customers
C00077,91342.10237,3824.136577,7,455.0165047,4,Female,Mobile App,2,Premium Customers
C00078,82892.82169,4079.23423,9,447.8806572,4,Female,Online,2,Premium Customers
C00079,141044.1362,10036.1041214875,16,848.5410537875001,5,Female,Online,0,Loyal Customers
C00080,171307.63754124998,10036.1041214875,16,689.5741532,1,Male,Online,0,Loyal Customers
C00081,31687.58732,652.588275,3,196.5265465,8,Male,Online,3,Budget Shoppers
C00082,31224.18466,743.9523846,4,301.5224674,1,Male,Online,3,Budget Shoppers
C00083,31704.93275,734.5444405,3,249.7032669,8,Male,Online,3,Budget Shoppers
C00084,171307.63754124998,10036.1041214875,18,647.9723128,8,Male,Mobile App,0,Loyal Customers
C00085,121355.6915,10036.1041214875,17,743.6943479,10,Female,Store,0,Loyal Customers
C00086,157702.5097,10036.1041214875,18,644.5947277,9,Male,Store,0,Loyal Customers
C00087,61044.45005,1994.230861,8,238.1968575,2,Male,Mobile App,1,Regular Customers
C00088,24216.32244,594.5966212,3,165.1310895,3,Male,Online,3,Budget Shoppers
C00089,28225.19664,376.0972209,4,89.10470651,1,Female,Online,3,Budget Shoppers
C00090,83628.4618,3522.536476,9,377.0461085,9,Male,Store,2,Premium Customers
C00091,57903.22843,2242.961702,6,354.3239793,2,Male,Online,1,Regular Customers
C00092,160411.0834,10036.1041214875,15,848.5410537875001,6,Male,Mobile App,0,Loyal Customers
C00093,69651.32791,1987.353479,6,302.2134858,4,Male,Online,1,Regular Customers
C00094,95409.92998,4925.427655,11,425.4947132,4,Female,Store,2,Premium Customers
C00095,93659.41946,3843.476719,9,392.3516675,7,Female,Store,2,Premium Customers
C00096,105025.9513,4749.437824,9,431.4909028,7,Female,Mobile App,2,Premium Customers
C00097,30480.74726,788.3878139,2,391.2240806,7,Male,Store,3,Budget Shoppers
C00098,91120.54572,4961.377708,9,520.51563,1,Male,Store,2,Premium Customers
C00099,31115.35456,676.0296938,1,670.0726182,10,Male,Online,3,Budget Shoppers
C00100,167208.8197,9444.431946,18,491.1948984,6,Male,Store,0,Loyal Customers
C00101,101608.4579,4116.250066,15,223.4126191,4,Female,Store,2,Premium Customers
C00102,62597.41642,1962.044006,5,442.743142,9,Male,Online,1,Regular Customers
C00103,144089.5406,10036.1041214875,18,606.0021766,2,Female,Online,0,Loyal Customers
C00104,36775.28819,421.9597276,3,128.1823007,5,Male,Mobile App,3,Budget Shoppers
C00105,59328.10956,1188.003896,8,192.7514247,6,Male,Mobile App,1,Regular Customers
C00106,154427.2929,10036.1041214875,16,655.5196559,4,Female,Store,0,Loyal Customers
C00107,57442.00132,1926.436925,8,218.5932789,9,Male,Store,1,Regular Customers
C00108,99707.41245,3807.884591,10,375.4793428,4,Male,Store,2,Premium Customers
C00109,171307.63754124998,10036.1041214875,19,546.3768995,10,Male,Mobile App,0,Loyal Customers
C00110,57997.13837,1977.934892,6,292.7052636,4,Male,Store,1,Regular Customers
C00111,29746.2044,709.8254607,2,320.428666,7,Female,Online,3,Budget Shoppers
C00112,19573.48064,529.9046661,2,192.1422358,4,Female,Store,3,Budget Shoppers
C00113,95739.66513,4344.793582,10,434.7766231,8,Male,Store,2,Premium Customers
C00114,31967.45154,2100.017602,8,242.8759106,7,Male,Mobile App,1,Regular Customers
C00115,34055.63411,649.5717815,2,271.4367514,2,Female,Store,3,Budget Shoppers
C00116,99295.58544,5144.37742,11,466.674507,1,Female,Store,2,Premium Customers
C00117,55367.17203,1995.678401,4,460.0497326,5,Male,Online,1,Regular Customers
C00118,87827.67923,1847.954656,8,629.2358048,9,Female,Store,2,Premium Customers
C00119,99968.5024,4853.130933,9,459.4934782,3,Female,Online,2,Premium Customers
C00120,54089.95976,1814.411447,6,334.244795,1,Female,Online,1,Regular Customers
C00121,29204.50944,479.6947105,3,83.3144932,1,Male,Mobile App,3,Budget Shoppers
C00122,61182.66076,2133.780682,6,344.6432789,6,Female,Store,1,Regular Customers
C00123,92784.79969,2531.401525,10,162.6965151,6,Female,Online,1,Regular Customers
C00124,47633.47803,1278.331796,8,108.1694807,4,Female,Online,1,Regular Customers
C00125,69787.22503,3427.191426,9,373.808352,2,Female,Online,2,Premium Customers
C00126,23353.7237,537.0526914,3,113.1236552,4,Male,Online,3,Budget Shoppers
C00127,135195.9025,10036.1041214875,17,703.0631174,3,Male,Online,0,Loyal Customers
C00128,29932.64848,467.5166634,3,121.9615581,3,Male,Store,3,Budget Shoppers
C00129,56135.51166,8007.627578,19,403.9663015,6,Female,Online,2,Premium Customers
C00130,58691.00836,1929.940527,7,213.8931854,5,Female,Online,1,Regular Customers
C00131,28454.51199,501.4256533,2,195.5947566,4,Female,Store,3,Budget Shoppers
C00132,30961.65594,533.4874208,3,134.5813346,4,Female,Online,3,Budget Shoppers
C00133,110214.2655,2961.320419,9,312.3068609,10,Male,Online,2,Premium Customers
C00134,87636.27109,4368.585397,10,397.057475,4,Male,Store,2,Premium Customers
C00135,29781.62107,594.8344171,2,287.7197111,4,Male,Online,3,Budget Shoppers
C00136,39910.3288,1608.105797,6,270.6015221,7,Male,Online,1,Regular Customers
C00137,56135.51166,10036.1041214875,19,742.9479524,7,Female,Store,0,Loyal Customers
C00138,68496.46233,5739.768336,10,571.0161896,8,Male,Store,2,Premium Customers
C00139,31667.83871,510.6679794,4,102.3351383,9,Male,Online,3,Budget Shoppers
C00140,171307.63754124998,10036.1041214875,17,769.0089601,3,Female,Online,0,Loyal Customers
C00141,30961.38096,565.5464529,1,568.9757155,6,Female,Mobile App,3,Budget Shoppers
C00142,29413.94554,828.5443461,1,848.5410537875001,8,Male,Mobile App,2,Premium Customers
C00143,24191.17897,612.1804513,1,595.2199527,7,Female,Online,3,Budget Shoppers
C00144,79187.81041,3845.629946,10,432.5836674,3,Male,Online,2,Premium Customers
C00145,31285.25575,491.3680517,1,371.3857252,7,Male,Online,3,Budget Shoppers
C00146,26953.11604,551.4625487,1,282.2645588,6,Female,Store,3,Budget Shoppers
C00147,35853.4521,729.9970976,1,539.1289438,5,Female,Online,3,Budget Shoppers
C00148,47902.45099,2147.967054,5,330.1104223,8,Male,Mobile App,1,Regular Customers
C00149,79380.66076,3911.534217,8,443.4409965,7,Male,Store,2,Premium Customers
C00150,88705.62342,4221.999749,10,406.0296976,4,Male,Mobile App,2,Premium Customers
C00151,106894.2388,4666.41727,8,575.4644164,8,Male,Online,2,Premium Customers
C00152,50581.89521,2145.058831,9,252.5778465,9,Female,Store,1,Regular Customers
C00153,28887.18073,632.7573568,3,196.9439704,6,Male,Mobile App,3,Budget Shoppers
C00154,61977.6767,1719.940611,9,188.9202838,10,Male,Online,1,Regular Customers
C00155,59223.31576,1445.208975,8,146.9883536,3,Female,Store,1,Regular Customers
C00156,63166.43318,1885.803021,5,318.9883095,1,Female,Mobile App,1,Regular Customers
C00157,28429.01079,548.7495203,1,301.5224674,8,Female,Online,3,Budget Shoppers
C00158,61287.21165,1683.645573,8,178.7728163,7,Female,Online,1,Regular Customers
C00159,66554.90539,1615.838861,6,311.683275,10,Male,Online,1,Regular Customers
C00160,149095.9623,10036.1041214875,19,633.9345987,7,Female,Store,0,Loyal Customers
C00161,52829.61101,2159.596843,8,254.5462402,5,Male,Store,1,Regular Customers
C00162,29480.30252,799.1277935,3,241.9686244,5,Male,Mobile App,3,Budget Shoppers
C00163,80528.03323,5526.553287,11,522.5746718,9,Male,Online,2,Premium Customers
C00164,161802.0436,10036.1041214875,16,848.5410537875001,9,Male,Store,0,Loyal Customers
C00165,56135.51166,1847.954656,10,445.7134533,9,Female,Online,2,Premium Customers
C00166,54133.08623,2136.930751,4,492.5259547,7,Male,Online,1,Regular Customers
C00167,43882.00642,2089.211896,6,341.9664095,7,Male,Online,1,Regular Customers
C00168,84539.52008,5277.838112,9,546.106365,3,Male,Online,2,Premium Customers
C00169,82559.15302,2792.386543,7,408.0951199,4,Male,Mobile App,2,Premium Customers
C00170,30352.73935,473.9936349,2,198.0925196,7,Female,Store,3,Budget Shoppers
C00171,68540.93767,5010.515285,10,498.539763,5,Male,Online,2,Premium Customers
C00172,33411.09526,610.4242129,3,140.1851181,7,Male,Online,3,Budget Shoppers
C00173,36073.70989,516.7892297,3,133.9801667,2,Female,Online,3,Budget Shoppers
C00174,171307.63754124998,10036.1041214875,18,632.4147173,4,Male,Online,0,Loyal Customers
C00175,105610.3478,4354.770984,9,431.6342565,6,Female,Online,2,Premium Customers
C00176,97541.41134,5043.351306,9,533.0306412,5,Female,Store,2,Premium Customers
C00177,54359.0278,1443.745222,7,160.7893571,10,Male,Mobile App,1,Regular Customers
C00178,101319.1412,3767.224532,11,273.2842262,8,Female,Store,2,Premium Customers
C00179,97957.02841,4602.33534,7,666.3715504,2,Male,Online,2,Premium Customers
C00180,110063.828,5095.060071,9,533.2386652,4,Female,Online,2,Premium Customers
C00181,30711.35858,473.4993252,3,181.3692844,2,Male,Mobile App,3,Budget Shoppers
C00182,156212.125,10036.1041214875,17,668.2419589,3,Female,Online,0,Loyal Customers
C00183,63224.30722,1816.527529,9,184.2579451,8,Male,Store,1,Regular Customers
C00184,48191.81712,2025.948979,8,218.190971,8,Male,Online,1,Regular Customers
C00185,91733.61802,3958.791713,10,357.6693616,5,Male,Store,2,Premium Customers
C00186,94236.657,4839.705837,9,507.1332489,3,Female,Mobile App,2,Premium Customers
C00187,29564.58667,558.4947241,1,528.6770962,9,Male,Online,3,Budget Shoppers
C00188,49557.73259,1425.28413,7,202.9675481,8,Male,Online,1,Regular Customers
C00189,26356.42425,637.9391475,2,303.5442008,3,Male,Store,3,Budget Shoppers
C00190,56135.51166,4549.629427,9,488.6196826,9,Male,Online,2,Premium Customers
C00191,50830.65266,1402.593755,5,266.9286774,10,Female,Online,1,Regular Customers
C00192,86423.93685,4557.370123,8,301.5224674,9,Male,Online,2,Premium Customers
C00193,27758.28173,574.0765013,2,245.7052613,4,Male,Online,3,Budget Shoppers
C00194,99973.32417,4369.719935,8,534.6080745,6,Male,Mobile App,2,Premium Customers
C00195,55754.01644,1881.336902,5,292.2128927,7,Male,Online,1,Regular Customers
C00196,28026.23234,621.882119,5,132.6705431,6,Female,Online,3,Budget Shoppers
C00197,56827.42147,1662.077147,7,192.2032986,8,Male,Online,1,Regular Customers
C00198,88223.14475,4868.959258,10,458.3245754,1,Male,Store,2,Premium Customers
C00199,95937.31238,4718.47107,11,438.9801524,2,Male,Store,2,Premium Customers
C00200,87628.1496,4764.011512,7,685.0810657,7,Male,Store,2,Premium Customers
C00201,81184.823,4659.970316,11,412.0862403,4,Male,Online,2,Premium Customers
C00202,160711.8133,10036.1041214875,18,778.999396,8,Female,Online,0,Loyal Customers
C00203,50128.42323,2092.14361,8,262.6192293,2,Female,Online,1,Regular Customers
C00204,56135.51166,4199.977208,10,412.144451,2,Male,Store,2,Premium Customers
C00205,169690.0081,10036.1041214875,19,738.1752458,7,Male,Online,0,Loyal Customers
C00206,41295.89472,695.4080766,5,131.1137261,1,Male,Online,3,Budget Shoppers
C00207,51040.72863,2001.607198,7,328.4691883,1,Female,Mobile App,1,Regular Customers
C00208,91316.66217,3398.764797,9,398.9043359,9,Male,Store,2,Premium Customers
C00209,26077.32107,668.4455508,3,217.6943358,8,Male,Online,3,Budget Shoppers
C00210,91314.3428,4653.232109,10,487.4580848,3,Male,Store,2,Premium Customers
C00211,150444.5851,10036.1041214875,18,697.7036156,8,Male,Mobile App,0,Loyal Customers
C00212,54923.53514,1982.285515,5,379.8063808,2,Male,Mobile App,1,Regular Customers
C00213,91304.93931,3720.300185,8,507.7116598,3,Male,Online,2,Premium Customers
C00214,44338.82676,1970.020763,7,303.3083754,9,Female,Online,1,Regular Customers
C00215,57883.75862,2016.001117,6,356.2871883,10,Male,Online,1,Regular Customers
C00216,48333.27383,1657.461346,5,350.9725857,3,Female,Mobile App,1,Regular Customers
C00217,147980.1571,10036.1041214875,17,817.2411073,5,Male,Online,0,Loyal Customers
C00218,56135.51166,602.5611823,2,267.0548363,10,Male,Online,3,Budget Shoppers
C00219,46822.11838,1630.872057,5,270.0561572,6,Male,Online,1,Regular Customers
C00220,61509.58243,2133.623632,7,269.8195552,5,Male,Mobile App,1,Regular Customers
C00221,27382.30617,435.1969609,4,119.5466546,7,Female,Mobile App,3,Budget Shoppers
C00222,44414.00104,2012.444392,7,302.4341331,6,Female,Mobile App,1,Regular Customers
C00223,36839.57497,556.4293355,2,301.5224674,10,Female,Mobile App,3,Budget Shoppers
C00224,34135.55652,514.4180343,2,266.2287809,10,Male,Store,3,Budget Shoppers
C00225,50629.31108,1900.653915,6,303.8308716,9,Female,Store,1,Regular Customers
C00226,26144.78701,500.6697154,1,494.1896728,10,Female,Mobile App,3,Budget Shoppers
C00227,29051.58642,555.1229494,1,301.5224674,10,Female,Online,3,Budget Shoppers
C00228,59564.38863,1878.114746,8,285.3142693,2,Male,Online,1,Regular Customers
C00229,143578.198,9413.893955,18,515.1147824,8,Male,Online,0,Loyal Customers
C00230,51599.37824,1866.072437,7,258.3399817,4,Male,Store,1,Regular Customers
C00231,155815.2122,10036.1041214875,19,650.6762545,7,Male,Store,0,Loyal Customers
C00232,62932.12292,2221.474859,7,259.9041846,6,Male,Online,1,Regular Customers
C00233,171307.63754124998,9883.472943,18,605.5782265,2,Male,Online,0,Loyal Customers
C00234,80706.76034,4718.287058,10,496.0520886,4,Female,Mobile App,2,Premium Customers
C00235,31831.41008,658.7097304,5,129.6252304,7,Male,Mobile App,3,Budget Shoppers
C00236,30808.86501,596.9467297,2,247.1494783,10,Male,Online,3,Budget Shoppers
C00237,64215.33245,1853.883664,6,327.9289064,10,Female,Store,1,Regular Customers
C00238,171307.63754124998,10036.1041214875,18,587.4173324,3,Male,Online,0,Loyal Customers
C00239,52212.75713,1770.351984,9,188.2724823,4,Male,Mobile App,1,Regular Customers
C00240,49258.5232,1529.035232,7,196.9880837,5,Male,Online,1,Regular Customers
C00241,25460.81776,654.2922751,2,258.2699646,2,Female,Online,3,Budget Shoppers
C00242,41523.55452,1666.978672,5,282.7932952,8,Female,Store,1,Regular Customers
C00243,138475.5765,10036.1041214875,18,848.5410537875001,8,Female,Online,0,Loyal Customers
C00244,35555.6767,668.7474316,2,237.4068147,4,Female,Mobile App,3,Budget Shoppers
C00245,30510.18089,590.8847353,2,291.282465,6,Male,Mobile App,3,Budget Shoppers
C00246,29966.51884,598.0168622,2,260.2545351,10,Male,Store,3,Budget Shoppers
C00247,138690.21,10036.1041214875,16,682.6629565,8,Male,Store,0,Loyal Customers
C00248,95650.67877,4537.69185,8,536.2396772,7,Male,Online,2,Premium Customers
C00249,47337.55361,1588.639069,4,332.9302444,4,Female,Online,1,Regular Customers
C00250,90475.25697,5198.53878,11,501.208404,2,Male,Online,2,Premium Customers
C00251,132366.6389,10036.1041214875,17,684.297723,10,Male,Online,0,Loyal Customers
C00252,30115.21494,613.1252823,3,228.1852701,9,Male,Online,3,Budget Shoppers
C00253,84830.00055,4336.654033,10,382.8812876,8,Male,Store,2,Premium Customers
C00254,43779.8714,1829.525105,4,359.9044093,5,Female,Mobile App,1,Regular Customers
C00255,135322.1151,10036.1041214875,18,600.6408612,5,Female,Store,0,Loyal Customers
C00256,146660.2987,9959.861408,18,546.2619395,1,Male,Online,0,Loyal Customers
C00257,60102.8859,1841.345843,6,310.7145388,5,Male,Mobile App,1,Regular Customers
C00258,33865.0743,766.9952983,3,200.9129991,9,Female,Store,3,Budget Shoppers
C00259,57654.5187,1807.293949,6,272.7590799,6,Female,Store,1,Regular Customers
C00260,62831.15447,2012.591955,7,322.4953148,10,Male,Online,1,Regular Customers
C00261,54790.60409,1751.568029,8,301.5224674,7,Female,Online,1,Regular Customers
C00262,32953.73585,662.3571826,4,194.7756026,10,Female,Online,3,Budget Shoppers
C00263,55864.6447,1769.490369,6,369.6238435,10,Male,Mobile App,1,Regular Customers
C00264,60518.74131,1994.984377,6,321.27126,2,Female,Online,1,Regular Customers
C00265,168094.1707,10036.1041214875,18,559.8833192,8,Male,Online,0,Loyal Customers
C00266,171307.63754124998,10036.1041214875,19,711.053925,7,Male,Store,0,Loyal Customers
C00267,52233.2532,1846.866519,6,260.3260958,8,Female,Store,1,Regular Customers
C00268,66358.70213,1865.393594,6,302.595381,4,Female,Online,1,Regular Customers
C00269,56135.51166,1778.646056,6,292.70482,3,Female,Store,1,Regular Customers
C00270,85456.09576,5516.644844,8,659.8700336,7,Male,Online,2,Premium Customers
C00271,52980.60792,1520.619014,7,301.5224674,2,Male,Store,1,Regular Customers
C00272,93147.63641,4334.479807,10,413.6325118,2,Male,Store,2,Premium Customers
C00273,27993.02957,458.6206689,1,290.2721797,1,Female,Store,3,Budget Shoppers
C00274,31771.26785,446.8287993,6,58.8422914,3,Female,Online,3,Budget Shoppers
C00275,91095.12463,4669.819927,8,518.6293479,4,Female,Store,2,Premium Customers
C00276,98418.03855,3356.522362,11,314.9936896,6,Male,Online,2,Premium Customers
C00277,50207.72832,1753.197842,7,238.9404231,9,Male,Online,1,Regular Customers
C00278,28252.69123,533.8226885,2,172.0841562,1,Female,Online,3,Budget Shoppers
C00279,94122.81016,4698.331067,11,419.5490977,8,Male,Online,2,Premium Customers
C00280,163332.2474,10036.1041214875,16,744.2004065,2,Male,Online,0,Loyal Customers
C00281,29819.14281,521.0903597,4,97.79306361,9,Female,Mobile App,3,Budget Shoppers
C00282,55288.25688,1592.369077,6,205.4757701,5,Female,Online,1,Regular Customers
C00283,31465.38823,400.1621092,1,411.6231204,2,Female,Online,3,Budget Shoppers
C00284,89255.10496,4008.665787,8,445.3942006,5,Male,Online,2,Premium Customers
C00285,169407.6425,10036.1041214875,15,824.5879746,4,Female,Store,0,Loyal Customers
C00286,49075.1509,1817.773847,7,233.8981474,6,Female,Store,1,Regular Customers
C00287,53618.70429,1679.504033,8,187.0748568,1,Male,Online,1,Regular Customers
C00288,53332.80219,1842.653363,5,381.9463354,9,Male,Store,1,Regular Customers
C00289,47601.79229,1463.261951,8,149.2720222,8,Female,Online,1,Regular Customers
C00290,81353.53427,4163.649764,11,356.0966758,7,Female,Store,2,Premium Customers
C00291,28310.96765,475.2610852,3,140.7341187,7,Male,Online,3,Budget Shoppers
C00292,48897.1066,1729.70031,6,227.7642836,4,Female,Store,1,Regular Customers
C00293,171307.63754124998,10036.1041214875,18,680.2245363,5,Female,Online,0,Loyal Customers
C00294,93561.72884,3990.794853,9,479.4833723,5,Male,Online,2,Premium Customers
C00295,34448.92183,743.0046296,3,301.5224674,3,Female,Store,3,Budget Shoppers
C00296,28276.18516,575.2677926,2,217.5517684,1,Male,Store,3,Budget Shoppers
C00297,61505.3816,1988.784495,4,389.5087759,6,Female,Online,1,Regular Customers
C00298,28794.8088,538.8692412,5,112.4994541,5,Female,Online,3,Budget Shoppers
C00299,152909.5197,9880.199715,19,524.6946932,4,Male,Online,0,Loyal Customers
C00300,30606.45951,571.623301,4,161.517154,8,Female,Store,3,Budget Shoppers
C00301,26390.89429,585.0931731,2,229.768115,9,Male,Store,3,Budget Shoppers
C00302,89273.60993,4907.070041,10,480.3610465,10,Male,Online,2,Premium Customers
C00303,50672.88725,1948.470166,6,275.9002369,5,Female,Mobile App,1,Regular Customers
C00304,25529.66193,490.4336586,4,125.1037324,6,Male,Online,3,Budget Shoppers
C00305,42171.8656,1758.778261,8,188.7513673,10,Female,Online,1,Regular Customers
C00306,82471.18892,3351.587498,11,285.4425071,5,Male,Mobile App,2,Premium Customers
C00307,61514.88771,1881.10915,5,401.6487783,10,Male,Store,1,Regular Customers
C00308,63071.17009,1546.859794,9,301.5224674,4,Male,Online,1,Regular Customers
C00309,48439.1958,1601.013028,6,261.0508435,2,Male,Store,1,Regular Customers
C00310,28891.33849,570.2918827,3,170.488487,9,Female,Online,3,Budget Shoppers
C00311,26147.69484,1847.954656,4,105.1989785,10,Female,Online,3,Budget Shoppers
C00312,157984.7651,10036.1041214875,16,675.5823254,2,Male,Mobile App,0,Loyal Customers
C00313,34416.95961,579.203747,5,136.8533536,7,Male,Store,3,Budget Shoppers
C00314,51850.65181,2200.65358,5,396.9101495,5,Male,Mobile App,1,Regular Customers
C00315,53370.10293,1858.150657,6,253.8396312,8,Male,Online,1,Regular Customers
C00316,33421.10733,477.1480384,3,134.3514372,7,Female,Mobile App,3,Budget Shoppers
C00317,103839.9198,3818.422342,9,413.5960563,9,Female,Store,2,Premium Customers
C00318,47046.99245,2122.649538,7,247.4274867,7,Male,Online,1,Regular Customers
C00319,97907.35923,5571.644172,8,632.877254,4,Female,Online,2,Premium Customers
C00320,55606.09001,1920.491402,7,223.9760841,2,Female,Online,1,Regular Customers
C00321,39547.64403,1926.020583,5,350.8203323,4,Female,Store,1,Regular Customers
C00322,59715.45712,1761.988027,5,383.0545015,10,Male,Online,1,Regular Customers
C00323,37718.19872,484.7589986,2,301.5224674,4,Male,Online,3,Budget Shoppers
C00324,168655.0293,10036.1041214875,18,647.4466208,7,Male,Store,0,Loyal Customers
C00325,52818.48312,2158.94656,6,386.3219241,10,Male,Store,1,Regular Customers
C00326,82783.51189,4594.217498,10,447.6349245,4,Male,Store,2,Premium Customers
